רצף כללי,שם הסרטון,תאור תוכן הסרטון,מילות מפתח- להכניס עם פסיק בין מילה למילה,הערות למורים,קישור ליוטיוב- חדש,,,,,,קישור ליוטיוב- רעות/שיר 
הדגמות חשמל,חשמל-אלקטרוסטטיקה-סוגי מטענים-חלק 1: הצגת המערכת,"הצגת המערכת שתאפשר הדגמת קיום שני סוגי מטענים חשמליים המייצרים כוחות דחייה ומשיכה
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,הדגמה, חשמל, מטען, סוג, קולון, אלקטרוסטטיקה,סוגי מטענים,חוק קולון","סרטון 1, מתוך רצף של 4 סרטונים",https://youtu.be/7SzMIg7gTRY,,,,,,https://youtu.be/PcxhjlsMFtg
הדגמות חשמל,חשמל-אלקטרוסטטיקה-סוגי מטענים-חלק 2: משיכה ודחייה,"הצגת כוחות משיכה ודחייה בין גופים שנטענו שונה
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,אלקטרוסטטיקה,סוגי מטענים,חוק קולון","סרטון 2, מתוך רצף של 4 סרטונים",https://youtu.be/p7m_5lhtTls,,,,,,https://youtu.be/3lwbMxUleXo
הדגמות חשמל,חשמל-אלקטרוסטטיקה-סוגי מטענים-חלק 3: תלות בעוצמת השפשוף,"הצגת התלות של כוחות הדחייה בעוצמת השפשוף, ומכאן בגודל המטען החשמלי
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,אלקטרוסטטיקה,סוגי מטענים,חוק קולון","סרטון 3, מתוך רצף של 4 סרטונים",https://youtu.be/xnBorwrxXks,,,,,,https://youtu.be/X83F5Lgz8TU
הדגמות חשמל,חשמל-אלקטרוסטטיקה-סוגי מטענים-חלק 4: תלות במרחק,"הצגת התלות של כוחות הדחייה במרחק בין הגופים הטעונים
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,אלקטרוסטטיקה,סוגי מטענים,חוק קולון","סרטון 4, מתוך רצף של 4 סרטונים",https://youtu.be/KgXKSTAPKLs,,,,,,https://youtu.be/JwLz8fZINg8
הדגמות חשמל,חשמל- אלקטרוסטטיקה- שדה חשמלי- שדה חשמלי בשמן- בניית מערכת מטען יחיד,"בניית המערכת של ההדגמת שדה חשמלי בשמן עבור מטען יחיד.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי",,"סרטון 1, מתוך רצף של 2 סרטונים",https://youtu.be/WU8GioxjX9c,,,,,,
הדגמות חשמל,חשמל- אלקטרוסטטיקה- שדה חשמלי- שדה חשמלי בשמן- מטען יחיד,"הדגמה של שדה חשמלי בשמן עבור מטען יחיד.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי",,"סרטון 2, מתוך רצף של 2סרטונים",https://youtu.be/aQwag3n58Ho,,,,,,
הדגמות חשמל,חשמל- אלקטרוסטטיקה- שדה חשמלי- שדה חשמלי בשמן- בניית מערכת דיפול,"בניית המערכת של ההדגמת שדה חשמלי בשמן עבור דיפול.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי",,"סרטון 1, מתוך רצף של 2 סרטונים",https://youtu.be/DwuiK_Ju6ug,,,,,,
הדגמות חשמל,חשמל- אלקטרוסטטיקה- שדה חשמלי- שדה חשמלי בשמן- דיפול,"הדגמה של שדה חשמלי בשמן עבור דיפול.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי",,"סרטון 2, מתוך רצף של 2סרטונים",https://youtu.be/x2T9QotWtpk,,,,,,
הדגמות חשמל,חשמל- אלקטרוסטטיקה- שדה חשמלי- שדה חשמלי בשמן- 2 לוחות מקבילים,"הדגמה של שדה חשמלי בשמן עבור 2 לוחות מקבילים.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי",,,https://youtu.be/F_7zMx7OsA8,,,,,,
הדגמות חשמל,חשמל-אלקטרוסטטיקה-תנועת מטען בשדה אחיד - טלטרון 1 - חימום הסליל,"חיבור השפופרת למתח חילופין לחימום הסליל ופליטת אלקטרונים
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,אלקטרוסטטיקה,תנועת מטען בשדה אחיד,שפופרת קרן קתודית","סרטון 1, מתוך רצף של 7 סרטונים",https://youtu.be/xDuIDz566_s,,,,,,https://youtu.be/goZtkO0LcU4
הדגמות חשמל,חשמל-אלקטרוסטטיקה-תנועת מטען בשדה אחיד - טלטרון 2 - מתח האצה,"חיבור השפופרת למתח האצה
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,אלקטרוסטטיקה,תנועת מטען בשדה אחיד,שפופרת קרן קתודית","סרטון 2, מתוך רצף של 7 סרטונים",https://youtu.be/Mx5dqscReBA,,,,,,https://youtu.be/lsTWsGUwgFI
הדגמות חשמל,חשמל-אלקטרוסטטיקה-תנועת מטען בשדה אחיד - טלטרון 3 - מתח הטיה,"חיבור השפופרת למתח הטיה (קרן מוסטת למעלה)
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,אלקטרוסטטיקה,תנועת מטען בשדה אחיד,שפופרת קרן קתודית","סרטון 3, מתוך רצף של 7 סרטונים",https://youtu.be/6hkDt0k18gY,,,,,,https://youtu.be/_ARUQp0TX5E
הדגמות חשמל,חשמל-אלקטרוסטטיקה-תנועת מטען בשדה אחיד - טלטרון 4 - מתח הטיה הפוך,"חיבור השפופרת למתח הטיה בכיוון הפוך לקודם (קרן מוסטת למטה במקום למעלה)
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,אלקטרוסטטיקה,תנועת מטען בשדה אחיד,שפופרת קרן קתודית","סרטון 4, מתוך רצף של 7 סרטונים",https://youtu.be/KUOjvm2LaNI,,,,,,https://youtu.be/BWJKKrLnOds
הדגמות חשמל,חשמל-אלקטרוסטטיקה-תנועת מטען בשדה אחיד - טלטרון 5 - תלות הטיה במתח האצה,"כיצד ישפיע שינוע מתח ההאצה על הטית קרן האלקטרונים?
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,אלקטרוסטטיקה,תנועת מטען בשדה אחיד,שפופרת קרן קתודית","סרטון 5, מתוך רצף של 7 סרטונים",https://youtu.be/gONMltoi4Hg,,,,,,https://youtu.be/EGn3TWTCcrw
הדגמות חשמל,חשמל-אלקטרוסטטיקה-תנועת מטען בשדה אחיד - טלטרון 6 - מתח האצה והטיה שווים,"כיצד תראה קרן האלקטרונים במתחים שונים אם מתח ההטיה וההאצה שווים בגודלם?
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,אלקטרוסטטיקה,תנועת מטען בשדה אחיד,שפופרת קרן קתודית","סרטון 6, מתוך רצף של 7 סרטונים",https://youtu.be/iJKnB6XdkzQ,,,,,,https://youtu.be/Zc0SrOZfkVc
הדגמות חשמל,חשמל-אלקטרוסטטיקה-תנועת מטען בשדה אחיד - טלטרון 7 - ניסוי מתח הטיה כפונקציה של מתח האצה,"הצגת 5 תוצאות של ניסוי מתח הטיה כפונקציה של מתח האצה במרחק הסטה קבוע
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,אלקטרוסטטיקה,תנועת מטען בשדה אחיד,שפופרת קרן קתודית","סרטון 7, מתוך רצף של 7 סרטונים",https://youtu.be/85aSuROMa_4,,,,,,https://youtu.be/BQAOlQuVUsw
הדגמות חשמל,חשמל-אלקטרוסטטיקה-טעינת גופים 1 - קיטוב אלקטרוסקופ,"קיטוב אלקטרוסקופ באמצעות קירוב של מוט טעון
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,אלקטרוסטטיקה,טעינת גופים, מוליך, אלקטרוסקופ, קיטוב, השראה","סרטון 1, מתוך רצף של 7 סרטונים",https://youtu.be/KbP-lQ5MJ3A,,,,,,https://youtu.be/wcwrka_9qCQ
הדגמות חשמל,חשמל-אלקטרוסטטיקה-טעינת גופים 2 - טעינת אלקטרוסקופ במגע,"טעינת אלקטרוסקופ באמצעות מגע במוט טעון
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,אלקטרוסטטיקה,טעינת גופים, מוליך, אלקטרוסקופ, טעינה במגע","סרטון 2, מתוך רצף של 7 סרטונים",https://youtu.be/kKnJLNYZDkY,,,,,,https://youtu.be/-1x5p_Uw4cM
