רצף כללי,שם הסרטון,תאור תוכן הסרטון,מילות מפתח- להכניס עם פסיק בין מילה למילה,הערות למורים,קישור ליוטיוב- חדש,,,,,,קישור ליוטיוב- רעות/שיר 
הדגמות מכניקה,מכניקה- קינמטיקה- תנועה קצובה- ניסוי בועה,הדגמה מצולמת של ניסוי הבועה,,,https://youtu.be/T-KXFONwKds,,,,,,
הדגמות מכניקה,מכניקה- כללי- הסבר כיצד לכתוב משוואות בקובץ וורד,"הסרטון מלמד כיצד לכתוב משוואות בצורה מסודרת בקובץ וורד ומראה שימוש במספר קיצורי מקלדת.
הסרטון צולם כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי",,,https://youtu.be/R5xmGYLtSSY,,,,,,
הדגמות מכניקה,מכניקה- כללי- הדרכה לתלמידים כיצד לעבוד עם תוכנת טראקר לניתוח סרטונים- בסיס,,,,https://youtu.be/yFHZ6DnNuYA,,,,,,
הדגמות מכניקה,מכניקה- כללי- הדרכה לתלמידים כיצד לעבוד עם תוכנת טראקר לניתוח סרטונים- מתקדם,,,,https://youtu.be/C-o1FBjvdic,,,,,,
הדגמות מכניקה,מכניקה-דינמיקה-כוחות ומצבי התמדה - משיכת מפת שולחן,"משיכת מפה כהדגמה להתמדה
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות מכניקה,  הדגמה, מכניקההתמדה, חוק ראשון של ניוטון, מפת שולחן",,https://youtu.be/G5Pg00JkDH8,,,,,,https://www.youtube.com/watch?v=hacBF_6EMhU
הדגמות מכניקה,מכניקה-דינמיקה-כוחות ומצבי התמדה - מסילה חלזונית חלק א,"מסילה חלזונית כהדגמה להתמדה
חלק א - לפני שהכדור יוצא מהמסילה
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות מכניקה,  הדגמה, מכניקההתמדה, חוק ראשון של ניוטון, מסילה חלזונית","סרטון 1, מתוך רצף של 2 סרטונים. הסרטונים הם חלק ממערך שיעור.",https://youtu.be/gXa3ZoGH6j8,,,,,,https://youtu.be/PALkfpZcCv4
הדגמות מכניקה,מכניקה-דינמיקה-כוחות ומצבי התמדה - מסילה חלזונית חלק ב,"מסילה חלזונית כהדגמה להתמדה
חלק ב- אחרי שהכדור יוצא מהמסילה
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות מכניקה, הדגמה, מכניקה התמדה, חוק ראשון של ניוטון, מסילה חלזונית","סרטון 2, מתוך רצף של 2 סרטונים.הסרטונים הם חלק ממערך שיעור.",https://youtu.be/cndgJKGM6tw,,,,,,https://youtu.be/NsT44oh38dY
הדגמות מכניקה,מכניקה-דינמיקה-כוחות ומצבי התמדה - מקדחה מסובבת זיקוק דולק,"מקדחה מסובבת זיקוק דולק כהדגמה להתמדה
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות מכניקה,  הדגמה, מכניקההתמדה, חוק ראשון של ניוטון, תנועה מעגלית, זיקוק מסתובב, מקדחה מסובבת זיקוק",,https://youtu.be/qtNpnVD3cio,,,,,,https://www.youtube.com/watch?v=n7r5SASmQWM&list=PLjm_kheh3Bqov77hMi-CrSEIKQ0eskEBu&index=5&t=0s
הדגמות מכניקה,מכניקה-דינמיקה-כוחות ומצבי התמדה - עגלת התמדה עם תורן חלק א,"עגלת התמדה עם תורן חלק א, לפני נפילת הכדור כהדגמה להתמדה
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות מכניקה, הדגמה, מכניקה התמדה, חוק ראשון של ניוטון, עגלת התמדה, מקל סבא, תורן","סרטון 1, מתוך רצף של 4 סרטונים. הסרטונים הם חלק ממערך שיעור.",https://youtu.be/qiMAg_Q4kso,,,,,,https://youtu.be/W_udHP0FIA0
הדגמות מכניקה,מכניקה-דינמיקה-כוחות ומצבי התמדה - עגלת התמדה עם תורן חלק ב,"עגלת התמדה עם תורן חלק ב, לאחר נפילת הכדור בהילוך איטי כהדגמה להתמדה
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות מכניקה, הדגמה, מכניקה התמדה, חוק ראשון של ניוטון, עגלת התמדה, מקל סבא, תורן","סרטון 2, מתוך רצף של 4 סרטונים.הסרטונים הם חלק ממערל שיעור.",https://youtu.be/DI4skWAerRw,,,,,,https://youtu.be/HIsMy2Js2dc
